id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
15979	genus	Chlamydia	13	1	3			1.23	0.43	[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]
15980	genus	Haloarcula	5	2	4			2.90	0.66	[3, 3, 4, 2, 3, 3, 2]
15981	genus	Pseudohongiella	1	2	2			2.00	0.00	[2]
15982	genus	Acidisphaera	1	1	1			1.00	0.00	[1]
15983	genus	Meiothermus	2	2	2			2.00	0.00	[2, 2]
15984	genus	Candidatus Nitrosoglobus	1	2	2			2.00	0.00	[2]
15985	genus	Ruegeria	4	3	6			4.25	1.30	[3, 5, 3, 6]
15986	genus	Azorhizobium	1	3	3			3.00	0.00	[3]
15987	genus	Alcanivorax	5	2	3			2.40	0.49	[2, 2, 2, 3, 3]
15988	genus	Candidatus Xiphinematobacter	1	1	1			1.00	0.00	[1]
15989	genus	Cyanothece	6	2	3			2.33	0.47	[2, 2, 3, 3, 2, 2]
15990	genus	Acidothermus	1	1	1			1.00	0.00	[1]
15991	genus	Sulfitobacter	6	1	3			1.67	0.75	[3, 1, 2, 1, 2, 1]
15992	genus	Obesumbacterium	1	8	8			8.00	0.00	[8]
15993	genus	Celeribacter	4	2	3			2.25	0.43	[2, 2, 3, 2]
15994	genus	Anabaenopsis	4	4	4			4.00	0.00	[4, 4, 4, 4]
15995	genus	Pontimonas	1	1	1			1.00	0.00	[1]
15996	genus	Yoonia	1	2	2			2.00	0.00	[2]
15997	genus	Dehalogenimonas	2	1	1			1.00	0.00	[1, 1]
15998	genus	Shimwellia	1	8	8			8.00	0.00	[8]
15999	genus	Maritimibacter	1	1	1			1.00	0.00	[1]
16000	genus	Vitreoscilla	2	2	7			4.50	2.50	[7, 2]
16001	genus	Psychrobacter	11	3	6			4.41	0.76	[4, 4, 4, 4, 3, 5, 6, 4, 5, 5, 4, 5]
16002	genus	Janthinobacterium	6	1	10			6.17	3.39	[8, 10, 1, 2, 8, 8]
16003	genus	Collinsella	1	5	5			5.00	0.00	[5]
16004	genus	Thermincola	1	3	3			3.00	0.00	[3]
16005	genus	Polaribacter	5	2	6			4.00	1.67	[3, 3, 6, 6, 2]
16006	genus	Geminocystis	2	3	3			3.00	0.00	[3, 3]
16007	genus	Micrococcus	1	2	2			2.00	0.00	[2, 2, 2]
16008	genus	Chania	1	7	7			7.00	0.00	[7]
16009	genus	Phycisphaera	1	1	1			1.00	0.00	[1]
16010	genus	Cuniculiplasma	1	1	1			1.00	0.00	[1, 1]
16011	genus	Cupriavidus	9	4	7			5.78	1.23	[7, 7, 5, 4, 4, 7, 4, 7, 5, 5, 6]
16012	genus	Lysobacter	6	2	3			2.08	0.19	[2, 2, 2, 2, 2, 2, 3, 2]
16013	genus	Leuconostoc	9	3	4			3.94	0.16	[4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4]
16014	genus	Candidatus Nitrosotenuis	2	1	1			1.00	0.00	[1, 1]
16015	genus	Borrelia	9	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
16016	genus	Dechloromonas	2	3	4			3.50	0.50	[3, 4]
